english	german	french	xhosa	afrikaans
landscape	Landschaft	paysage	mhlaba	landskap
language	Sprache	langue	ulwimi	Taal
law	Gesetz	droit	umthetho	wet
leather	Leder	cuir	isikhumba	leer
leg	Bein	jambe	umlenze	been
leisure	Freizeit	loisir	lokuphola	ontspanning
length	Länge	longueur	ubude	lengte
letter	Brief	lettre	ileta	brief
level	Niveau	niveau	kwinqanaba	vlak
life	Leben	vie	ubomi	lewe
lip	Lippe	lèvre	umlebe	lip
location	Lage	emplacement	indawo	plek
loss	Verlust	perte	ilahleko	verlies
majority	Mehrheit	majorité	uninzi	meerderheid
man	Mann	homme	indoda	man
manager	Manager	manager	umlawuli	bestuurder
march	März	mars	EyoKwindla	Maart
market	Markt	marché	imarike	mark
marriage	Ehe	mariage	umtshato	huwelik
meal	Mahlzeit	repas	isidlo	maaltyd
meaning	Bedeutung	signification	intsingiselo	beteken
meat	Fleisch	viande	inyama	vleis
mechanism	Mechanismus	mécanisme	indlela	meganisme
member	Mitglied	membre	ilungu	lid
membership	Mitgliedschaft	adhésion	ubulungu	lidmaatskap
memory	Speicher	mémoire	inkumbulo	geheue
method	Verfahren	méthode	indlela yokwenza	metode
middle	Mitte	milieu	phakathi	middel
mind	Geist	esprit	ingqondo	gedagte
minister	Minister	ministre	umfundisi	Minister
ministry	Ministerium	ministère	inkonzo	bediening
minority	Minderheit	minorité	igcuntswana	minderheid
mixture	Mischung	mélange	umxube	mengsel
money	Geld	argent	imali	geld
month	Monat	mois	inyanga	maand
mood	Stimmung	humeur	imo	bui
morning	Morgen	matin	ntseni	oggend
mountain	Berg	montagne	intaba	berg
movement	Bewegung	mouvement	intshukumo	beweging
museum	Museum	musée	imyuziyam	museum
music	Musik	musique	umculo	musiek
neck	Hals	cou	intamo	nek
neighbor	Nachbar	voisin	ummelwane	buurman
news	Nachrichten	nouvelles	iindaba	Nuus
newspaper	Zeitung	journal	Iphephandaba	koerant
night	Nacht	nuit	busuku	nag
noise	Lärm	bruit	ingxolo	geraas
north	Norden	nord	mantla	Noord
nose	Nase	nez	impumlo	neus
november	November	novembre	EyeNkanga	November
objective	Ziel	objectif	Injongo	doel
october	Oktober	octobre	EyeDwarha	Oktober
offense	Vergehen	infraction	ityala	oortreding
office	Beamter	bureau	iofisi	kantoor
officer	Offizier	officier	igosa	offisier
official	offiziell	officiel	igosa	amptelik
openings	Öffnungen	ouvertures	Amuthuba	openinge
origin	Herkunft	origine	imvelaphi	oorsprong
result	Ergebnis	résultat	isiphumo	gevolg
paintings	Malereien	peintures	imizobo	skilderye
paper	Papier	papier	iphepha	papier
paragraph	Absatz	paragraphe	umhlathi	paragraaf
parish	Gemeinde	paroisse	ibandla	gemeente
parliament	Parlament	parlement	ipalamente	parlement
partnership	Partnerschaft	partenariat	ulwahlulelwano	vennootskap
past	Vergangenheit	passé	elidlulileyo	verlede
path	Pfad	chemin	indlela	pad
payment	Bezahlung	paiement	intlawulo	betaling
peace	Frieden	paix	uxolo	vrede
people	Menschen	personnes	abantu	mense
percentage	Prozentsatz	pourcentage	ipesenti	persentasie
person	Person	personne	umntu	persoon
airplane	Flugzeug	avion	inqwelo-moya	vliegtuig
plastic	Kunststoff	plastique	iplastiki	plastiek
player	Spieler	joueur	umdlali	speler
poetry	Dichtung	poésie	izibongo	gedigte
politician	Politiker	politicien	Umpolitiki	politikus
politics	Politik	politique	ipolitiki	politiek
potential	Potenzial	potentiel	ezinokubakho	potensiaal
poverty	Armut	pauvreté	ubuhlwempu	armoede
premise	Prämisse	prémisse	kwisindululo	uitgangspunt
presence	Gegenwart	présence	ubukho	teenwoordigheid
price	Preis	prix	ixabiso	prys
principle	Prinzip	principe	umgaqo	beginsel
priority	Priorität	priorité	Ukubaluleka	prioriteit
prisoner	Gefangene	prisonnier	umbanjwa	gevangene
problem	Problem	problème	ingxaki	probleem
process	Prozess	processus	inkqubo	proses
product	Produkt	produit	imveliso	produk
professor	Professor	professeur	unjingalwazi	Professor
program	Programm	programme	inkqubo	program
progress	Fortschritt	progrès	inkqubela	vordering
property	Eigentum	propriété	ipropati	eiendom
student	Schüler	élève	umfundi	student
purpose	Zweck	objectif	injongo	doel
quality	Qualität	qualité	uphawu	gehalte
queen	Königin	reine	ukumkanikazi	koningin
reaction	Reaktion	réaction	impendulo	reaksie
reader	Leser	lecteur	umfundi	leser
reality	Wirklichkeit	réalité	inyaniso	werklikheid
recession	Rezession	récession	ukurhoxa	resessie
reduction	Reduktion	réduction	ukunciphisa	vermindering
regime	Regime	régime	ulawulo	regime
relief	Erleichterung	soulagement	isiqabu	verligting
republic	Republik	république	iriphabliki	Republiek
reputation	Ansehen	réputation	isidima	reputasie
requirement	Anforderung	exigence	imfuneko	vereiste
resident	Einwohner	résident	ummi	inwoner
resistance	Widerstand	résistance	ukuxhathisa	weerstand
resolution	Auflösung	résolution	isisombululo	resolusie
resource	Ressource	ressource	ubutyebi	hulpbron
response	Antwort	réponse	impendulo	reaksie
result	Ergebnis	résultat	isiphumo	gevolg
retirement	Ruhestand	retraite	umhlala-phantsi	aftrede
revenue	Einnahmen	revenu	ingeniso	inkomste
revolution	Revolution	révolution	inguqu	revolusie
river	Fluss	fleuve	umlambo	rivier
road	Straße	route	indlela	pad
roof	Dach	toit	uphahla	dak
room	Zimmer	pièce	igumbi	kamer
security	Sicherheit	sécurité	ukhuseleko	sekuriteit
sale	Verkauf	vente	intengiso	koop
saturday	Samstag	samedi	uMgqibelo	Saterdag
savings	Ersparnisse	économies	Mali eselugcinweni	spaar
sea	Meer	mer	ulwandle	see
second	zweite	deuxième	Isibini	tweede
secretary	Sekretär	secrétaire	unobhala	sekretaris
security	Sicherheit	sécurité	ukhuseleko	sekuriteit
sentence	Satz	phrase	isigwebo	sin
september	September	septembre	EyoMsintsi	September
series	Serie	série	uthotho	reeks
servant	Diener	serviteur	isicaka	dienaar
shareholder	Gesellschafter	actionnaire	zabelo	aandeelhouer
sheep	Schaf	mouton	igusha	skape
shirt	Hemd	chemise	ihempe	hemp
shoe	Schuh	chaussure	isihlangu	skoen
side	Seite	côté	icala	kant
Mister	Herr	monsieur	Tat	Mister
sister	Schwester	sœur	usisi	suster
size	Größe	taille	ubungakanani	grootte
skill	Geschick	compétence	ubuchule	vaardigheid
sky	Himmel	ciel	isibhakabhaka	lug
soccer	Fußball	football	ibhola ekhatywayo	sokker
society	Gesellschaft	société	uluntu	samelewing
son	Sohn	fils	unyana	seun
song	Lied	chanson	ingoma	lied
soul	Seele	âme	umphefumlo	siel
south	Süden	sud	mazantsi	Suid
space	Raum	espace	isithuba	ruimte
species	Spezies	espèce	iintlobo	spesies
spirit	Geist	esprit	umoya	gees
stair	Stufe	marche	ezite-	trap
status	Status	statut	iwonga	status
story	Geschichte	histoire	ibali	storie
street	Straße	rue	isitalato	straat
strength	Stärke	force	amandla	krag
student	Student	étudiant	umfundi	student
success	Erfolg	succès	impumelelo	sukses
sugar	Zucker	sucre	iswekile	suiker
summer	Sommer	été	ihlobo	somer
summit	Gipfel	sommet	ngqungquthela	beraad
sunday	Sonntag	dimanche	iCawe	Sondag
surgery	Chirurgie	chirurgie	utyando	chirurgie
symptom	Symptom	symptôme	uphawu	simptoom
tank	Panzer	réservoir	itanki	tenk
task	Aufgabe	tâche	umsebenzi	taak
tea	Tee	thé	iti	tee
teacher	Lehrer	enseignant	utitshala	onderwyser
team	Mannschaft	équipe	iqela	span
technology	Technologie	technologie	iteknoloji	tegnologie
tenant	Mieter	locataire	umqeshi	huurder
watch	Uhr	tendance	khangela	watch
territory	Gebiet	territoire	ummandla	gebied
theatre	Theater	théâtre	ithiyetha	teater
theme	Thema	thème	umxholo	tema
theory	Theorie	théorie	ithiyori	teorie
thing	Ding	chose	into	ding
thousand	Tausend	mille	iwaka	duisend
threat	Bedrohung	menace	isoyikiso	bedreiging
throat	Kehle	gorge	umqala	keel
thursday	Donnerstag	jeudi	uLwesine	Donderdag
title	Titel	titre	isihloko	titel
tool	Werkzeug	outil	isixhobo	gereedskap
tooth	Zahn	dent	izinyo	tand
topic	Thema	sujet	isihloko	onderwerp
town	Stadt	ville	idolophu	dorp
traffic	Verkehr	circulation	yendlela	verkeer
treatment	Behandlung	traitement	impatho	behandeling
treaty	Abkommen	traité	umnqophiso	verdrag
tree	Baum	arbre	umthi	boom
trend	Trend	tendance	umkhwa	tendens
troop	Trupp	troupe	amajarha	bende
truth	Wahrheit	vérité	inyaniso	waarheid
unit	Einheit	unité	unit	eenheid
universe	Universum	univers	indalo yonke	heelal
university	Universität	université	iyunivesithi	universiteit
user	Benutzer	utilisateur	umsebenzisi	gebruiker
valley	Tal	vallée	intlambo	vallei
variety	Abwechslung	variété	iintlobo	verskeidenheid
vehicle	Fahrzeug	véhicule	isithuthi	voertuig
victim	Opfer	victime	ixhoba	slagoffer
victory	Sieg	victoire	uloyiso	oorwinning
visitor	Besucher	visiteur	undwendwe	besoeker
wage	Lohn	salaire	ngemivuzo	loon
wall	Wand	mur	udonga	muur
wealth	Reichtum	richesse	ubutyebi	rykdom
weapon	Waffe	arme	isixhobo	wapen
weather	Wetter	Météo	Imo yezulu	weer
wednesday	Mittwoch	mercredi	uLwesithathu	Woensdag
week	Woche	semaine	iveki	week
weight	Gewicht	poids	ubunzima	gewig
west	Westen	ouest	bucala ngasekunene	weste
wife	Ehefrau	femme	inkosikazi	vrou
window	Fenster	fenêtre	ifestile	venster
wing	Flügel	aile	iphiko	vleuel
winner	Sieger	gagnant	ophumeleleyo	wenner
woman	Frau	femme	Mfazi	vrou
wood	Holz	bois	iinkuni	hout
word	Wort	mot	igama	woord
work	Arbeit	travail	umsebenzi	werk
world	Welt	monde	ihlabathi	wêreld
writer	Schriftsteller	écrivain	umbhali	skrywer
year	Jahr	an	unyaka	jaar
youth	Jugend	jeunesse	ulutsha	jeug
to accept	akzeptieren	accepter	ukwamkela	om te aanvaar
to care	sich kümmern	prendre soin de	ukukhathala	om om te gee
to enjoy	genießen	profiter	ukonwabela	geniet
to happen	passieren	se dérouler	ukwenzeka	om te gebeur
to lead	führen	conduire	ukukhokhela	om te lei
to open	öffnen	ouvrir	ukuvula	om oop te maak
to reduce	reduzieren	réduire	ukunciphisa	te verminder
to settle	sich niederlassen	s'installer	ukuhlalisa	op te los
to teach	unterrichten	enseigner	ukufundisa	om te leer
to account	berücksichtigen	rendre des comptes	kwi-akhawunti	rekening
to carry	tragen	porter	ukubamba	om te dra
to count	zählen	compter	ukubala	om te tel
to examine	prüfen	examiner	ukuba ukuhlolisisa	om te ondersoek
to hate	hassen	détester	ukubathiya	te haat
to learn	lernen	apprendre	ukufunda	om te leer
to order	bestellen	commander	uku-oda	bestel
to refer	verweisen	Se référer	ukubhekisela	om te verwys
to shake	schütteln	secouer	ukuyishukumisa	om te skud
to tell	erzählen	dire	ukuxela	vertel
to achieve	erreichen	atteindre	ukuphumelela	bereik
to catch	fangen	attraper	ukubamba	te vang
to cover	zudecken	couvrir	ukwegquma	om te bedek
to exist	existieren	exister	ukubakho	om te bestaan
to have	haben	avoir	ukufumana	om te hê
to leave	verlassen	partir	ukuhamba	om te verlaat
to reflect	reflektieren	tenir compte	ukubonakalisa	om te besin
to tend	tendieren	de s'occuper	walusa	om dit te bewerk
to act	handeln	agir	ukwenza intshukumo	om op te tree
to cause	verursachen	provoquer	ukwenza	om te veroorsaak
to create	erschaffen	créer	ukudala	om te skep
to expect	erwarten	s'attendre à	ukulindela	om te verwag
to head	leiten	diriger	ukukhokhela	om te lei
to lend	verleihen	prêter	Ukoboleka	te leen
to own	besitzen	posséder	ukuyenza eyakho	om te besit
to refuse	ablehnen	refuser	Ukwala	om te weier
to share	teilen	partager	ukwabelana	om te deel
to test	probieren	tester	ukuvavanya	om te toets
to add	hinzufügen	ajouter	Ukongeza	om aan te las
to change	wechseln	changer	ukutshintsha	om te verander
to cross	kreuzen	traverser	ukuwela	oor te steek
to experience	erleben	connaître	ukubanamava	om te ondervind
to hear	hören	entendre	ukuva	om te hoor
to let	lassen	laisser	ukuzisa	om jou te laat
to pass	bestehen	passer	ukudlula	om te slaag
to regard	beachten	de considérer	ukuba ngokuphathelele	om betrekking
to shoot	schießen	tirer	ukuba kutolwe	om te skiet
to thank	danken	remercier	ukubulela	bedank
to admit	zugeben	admettre	ukuyivuma	om te erken
to charge	aufladen	faire payer	Uhlawulisa	te hef
to cry	weinen	pleurer	ukulila	om te huil
to explain	erklären	expliquer	ukucacisa	te verduidelik
to help	helfen	aider	ukunceda	om te help
to lie	lügen	mentir	ukuxoka	lieg
to pay	bezahlen	payer	ukuhlawula	om te betaal
to relate	sich beziehen	Rapporter	ukuba babalise	om 'n verband
to think	denken	penser	ukucinga	om te dink
to affect	beeinflussen	Affecter	kuchaphazela	om te beinvloed
to check	überprüfen	vérifier	ukujonga	Om te kyk
to cut	schneiden	couper	ukusika	om te sny
to express	ausdrücken	exprimer	ukuvakalisa	uit te druk
to hide	verstecken	cacher	ukufihla	om weg te steek
to like	mögen	apprécier	ukuthanda	om soos
to perform	aufführen	Exécuter	ukwenza	om op te tree
to release	loslassen	Libérer	ukukhulula	vry te stel
to shout	rufen	crier	ukukhwaza	te skree
to throw	werfen	lancer	Ukujula	om te gooi
to afford	sich leisten	se permettre	Ukufikeleleka	bekostig
to choose	auswählen	choisir	ukukhetha	om van te kies
to damage	beschädigen	endommager	ukuba umonakalo	om skade
to extend	erweitern	étendre	ukwandisa	om te verleng
to hit	schlagen	frapper	Ukubetha	om te tref
to limit	begrenzen	limiter	ukuba umda	te beperk
to pick	auswählen	choisir	ukcola	op te tel
to remain	bleiben	rester	ukuma	om te bly
to show	zeigen	montrer	ukubonisa	om te wys
to touch	berühren	toucher	ukumchukumisa	om aan te raak
to agree	zustimmen	être d'accord	ukuba uyavumelana	om saam te stem
to claim	beanspruchen	prétendre	Ukufuna	aanspraak
to dance	tanzen	danser	ukudanisa	om te dans
to face	begegnen	faire face à	ukujongana	gesig
to hold	halten	tenir	ukubamba	om vas te hou
to link	verlinken	lier	ukukhonkca	na skakel
to place	hinstellen	placer	ukuya kwindawo	te plaas
to remember	erinnern	se souvenir	ukukhumbula	onthou
to shut	schließen	fermer	ukuluvala	af te sluit
to train	trainieren	entraîner	ukuqeqesha	om op te lei
to aim	zielen	viser	onokujonga	na te streef
to clean	reinigen	nettoyer	ukucoca	om skoon te maak
to deal	handeln	négocier	ukujongana	om te gaan
to fail	versagen	échouer	Ukunga phumeleli	om te misluk
to hope	hoffen	espérer	ukubanethemba	hoop
to listen	zuhören	écouter	Ukumamela	om te luister
to plan	planen	planifier	ukucwangcisa	om te beplan
to remove	entfernen	retirer	ukususa	om te verwyder
to sing	singen	chanter	ukucula	om te sing
to travel	reisen	voyager	ukuhamba	om te reis
to allow	erlauben	autoriser	ukuvumela	om toe te laat
to clear	löschen	nettoyer	ukuba alihlambulule	om skoon te maak
to decide	entscheiden	decider	ukuba isigqibo	om te besluit
to fall	fallen	tomber	ukuwa	om te val
to hurt	verletzen	blesser	ukwenzakalisa	om seer te maak
to live	leben	vivre	ukuphila	om te lewe
to play	spielen	jouer	ukudlala	om te speel
to repeat	wiederholen	répéter	ukuba aphinde	herhaal
to sit	sitzen	s'asseoir	ukuhlala	om te sit
to treat	behandeln	traiter	ukunyanga	te behandel
to answer	antworten	répondre	ukuphendula	om te antwoord
to climb	klettern	escalader	ukukhwela	om te klim
to deliver	zustellen	livrer	ukuze ndibahlangule	om af te lewer
to fasten	fixieren	attacher	yanxitywa	om vas
to identify	identifizieren	pour identifier	ukuchonga	om te indentifiseer
to look	sehen	regarder	ukujonga	om te kyk
to point	darauf hinweisen	pointer	ukuba babugxininise	om te wys
to replace	ersetzen	remplacer	ukuba indawo	om te vervang
to sleep	schlafen	dormir	ukulala	slaap
to try	versuchen	essayer	ukuzama	probeer
to appear	erscheinen	apparaître	ukuba avele	om te verskyn
to close	schließen	fermer	ukuvala	te sluit
to demand	fordern	demander	ukuba bafune	om aan te dring
to feed	füttern	nourrir	okondla	om te voed
to imagine	vorstellen	imaginer	ukuba ucinge	om te dink
to lose	verlieren	perdre	ukwaphulukana	om te verloor
to prefer	bevorzugen	préférer	ukuba bakhetha	verkies
to reply	antworten	répondre	ukuba mawuthini	om te antwoord
to smile	lächeln	sourir	ukuncuma	om te glimlag
to turn	drehen	tourner	ukujika	om te draai
to apply	sich bewerben	s'appliquer	Ukufaka isicelo	om aansoek te doen
to collect	sammeln	collecter	ukuqokelela	om te kollekteer
to deny	bestreiten	nier	ukukhanyela	om te ontken
to feel	fühlen	sentir	ukuva	voel
to improve	verbessern	améliorer	ukuphucula	om te verbeter
to love	lieben	aimer	ukuthanda	om lief te hê
to prepare	vorbereiten	préparer	ukulungisa	om voor te berei
to report	berichten	signaler	ukuba ingxelo	aan te meld
to sort	sortieren	Trier	ukuba bazihlele	uit te sorteer
to understand	verstehen	comprendre	ukuqonda	om te verstaan
to argue	argumentieren	se disputer	Ukuxoxa	om te stry
to come	kommen	venir	ukuza	kom
to depend	abhängig sein	dépendre	ukuba sixhomekeke	afhanklik
to fight	kämpfen	combattre	ukulwa	om te veg
to include	einschließen	inclure	ukubandakanya	in te sluit
to make	machen	faire	ukwenza	te maak
to present	präsentieren	présenter	ukuba niyinikele	aan te bied
to represent	repräsentieren	représenter	ukumela	om te verteenwoordig
to sound	klingen	paraitre	nokukhalisa	klink
to use	benutzen	utiliser	ukusebenzisa	gebruik
to arrange	arrangieren	organiser	ukuba amalungiselelo	om te reël
to commit	begehen	S'engager	ukuba benze	te pleeg
to describe	beschreiben	décrire	ukuchaza	te beskryf
to fill	füllen	remplir	ukugcwalisa	in te vul
