english	spanish	german	french	arabic
congress	congreso	Kongress	congrès	مؤتمر
core	núcleo	Kern	noyau	صميم
council	consejo	Rat	comité	مجلس
country	país	Land	pays	بلد
countryside	campo	ländlicher Raum	campagne	ريف
county	condado	Bezirk	comté	مقاطعة
course	curso	Kurs	cours	دورة
creation	creación	Schaffung	création	خلق
criteria	criterios	Kriterien	critères	المعايير
critic	crítico	Kritiker	critique	الناقد
criticism	crítica	Kritik	critique	نقد
currency	moneda	Währung	devise	عملة
customer	cliente	Kunde	client	زبون
darkness	oscuridad	Dunkelheit	obscurité	ظلام
data	datos	Daten	données	البيانات
daughter	hija	Tochter	fille	ابنة
day	día	Tag	jour	يوم
death	muerte	Tod	décès	الموت
debt	deuda	Schuld	dette	دين
decade	década	Jahrzehnt	décennie	عقد
december	diciembre	Dezember	décembre	كانون الاول
defendant	acusado	Angeklagter	défendeur	المدعى عليه
definition	definición	Definition	définition	تعريف
degree	grado	Grad	degré	درجة
delivery	entrega	Lieferung	livraison	تسليم
democracy	democracia	Demokratie	démocratie	ديمقراطية
depth	profundidad	Tiefe	profondeur	عمق
desk	escritorio	Schreibtisch	bureau	مكتب
difficulty	dificultad	Schwierigkeit	difficulté	صعوبة
disaster	desastre	Katastrophe	désastre	كارثة
disease	enfermedad	Krankheit	maladie	مرض
door	puerta	Tür	porte	باب
driver	conductor	Fahrer	conducteur	سائق
duty	deber	Pflicht	devoir	واجب
ear	oído	Ohr	oreille	أذن
earnings	ganancias	Ertrag	bénéfices	أرباح
earth	tierra	Erde	terre	أرض
east	este	Osten	est	شرق
economics	economía	Wirtschaftlichkeit	économie	علم الاقتصاد
economy	economía	Wirtschaft	économie	اقتصاد
effect	efecto	Wirkung	effet	تأثير
efficiency	eficiencia	Leistungsfähigkeit	efficacité	كفاءة
egg	huevo	Ei	œuf	بيضة
emergency	emergencia	Notfall	urgence	حالة طوارئ
employee	empleado	Mitarbeiter	employé	الموظف
employer	empleador	Arbeitgeber	employeur	صاحب العمل
employment	empleo	Beschäftigung	emploi	توظيف
enemy	enemigo	Feind	ennemi	العدو
energy	energía	Energie	énergie	طاقة
engine	motor	Motor	moteur	محرك
engineering	ingeniería	Ingenieurwesen	ingénierie	هندسة
enterprise	empresa	Unternehmen	entreprise	مشروع
entrance	entrada	Eingang	entrée	مدخل
entry	entrada	Eintrag	entrée	دخول
equation	ecuación	Gleichung	équation	معادلة
equipment	equipo	Ausrüstung	équipement	معدات
evaluation	evaluación	Auswertung	évaluation	تقييم
evening	tarde	Abend	soirée	مساء
event	evento	Ereignis	événement	حدث
evidence	evidencia	Beweis	preuve	دليل
examination	examen	Prüfung	examen	فحص
example	ejemplo	Beispiel	exemple	مثال
exchange	intercambio	Austausch	échange	تبادل
executive	ejecutivo	Führungskraft	exécutif	تنفيذي
exhibition	exposición	Ausstellung	exposition	معرض
expectation	expectativa	Erwartung	attente	توقع
expenditure	gasto	Ausgaben	dépense	إنفاق
key	llave	Schlüssel	mesure	مدى
fact	hecho	Tatsache	fait	حقيقة
factory	fábrica	Fabrik	usine	مصنع
failure	fracaso	Scheitern	échec	فشل
faith	fe	Glaube	conviction	إيمان
family	familia	Familie	famille	أسرة
farmer	agricultor	Bauer	agriculteur	مزارع
february	febrero	Februar	février	شباط
fee	cuota	Gebühr	frais	رسوم
field	campo	Feld	champ	حقل
findings	hallazgos	Ergebnisse	résultats	النتائج
firm	firma	Betrieb	firme	شركة
meat	carne	Fleisch	chair	لحم
flight	vuelo	Flug	vol	طيران
food	comida	Lebensmittel	nourriture	طعام
foot	pie	Fuß	pied	قدم
forest	bosque	Wald	forêt	غابة
foundation	fundación	Gründung	fondation	مؤسسة
framework	marco	Rahmenwerk	cadre	الإطار
freedom	libertad	Freiheit	liberté	حرية
frequency	frecuencia	Häufigkeit	fréquence	تردد
friend	amigo	Freund	ami	صديق
furniture	muebles	Möbel	meubles	أثاث
future	futuro	Zukunft	futur	مستقبل
game	juego	Spiel	jeu	لعبة
gentleman	caballero	Gentleman	gentleman	رجل نبيل
gift	regalo	Geschenk	cadeau	هدية
girl	chica	Mädchen	fille	فتاة
glass	cristal	Glas	verre	زجاج
glasses	gafas	Brille	lunettes	نظارات
god	dios	Gott	dieu	الله
gold	oro	Gold	or	الذهب
goods	bienes	Waren	biens	بضائع
grass	hierba	Gras	herbe	عشب
growth	crecimiento	Wachstum	croissance	نمو
guest	invitado	Gast	invité	ضيف
guitar	guitarra	Gitarre	guitare	قيثارة
gun	pistola	Gewehr	pistolet	بندقية
hair	pelo	Haar	cheveux	شعر
health	salud	Gesundheit	santé	الصحة
heart	corazón	Herz	cœur	قلب
height	altura	Höhe	hauteur	ارتفاع
hell	infierno	Hölle	enfer	الجحيم
hill	colina	Hügel	colline	تل
history	historia	Geschichte	histoire	تاريخ
hole	agujero	Loch	trou	حفرة
horse	caballo	Pferd	cheval	حصان
hour	hora	Stunde	heure	ساعة
housing	viviendas	Unterkunft	logement	إسكان
hundred	cien	Hundert	cent	مائة
identity	identidad	Identität	identité	هوية
illness	enfermedad	Krankheit	maladie	مرض
income	ingresos	Einkommen	revenu	دخل
industry	industria	Industrie	industrie	صناعة
injury	lesión	Verletzung	blessure	ضرر
institute	instituto	Institut	institut	معهد
insurance	seguro	Versicherung	assurance	تأمين
island	isla	Insel	île	جزيرة
jacket	chaqueta	Jacke	veste	سترة
january	enero	Januar	janvier	يناير
job	trabajo	Arbeit	emploi	وظيفة
judgement	juicio	Urteil	jugement	حكم
july	julio	Juli	juillet	تموز
june	junio	Juni	juin	حزيران
king	rey	König	roi	ملك
kingdom	reino	Königreich	royaume	مملكة
kitchen	cocina	Küche	cuisine	مطبخ
knee	rodilla	Knie	genou	ركبة
knife	cuchillo	Messer	couteau	سكين
work	trabajo	Arbeit	travail	عمل
laboratory	laboratorio	Labor	laboratoire	مختبر
lady	dama	Dame	dame	سيدة
landscape	paisaje	Landschaft	paysage	المشهد
language	idioma	Sprache	langue	لغة
law	ley	Gesetz	droit	القانون
leather	cuero	Leder	cuir	جلد
leg	pierna	Bein	jambe	ساق
leisure	ocio	Freizeit	loisir	وقت الفراغ
length	longitud	Länge	longueur	طول
letter	carta	Brief	lettre	حرف
level	nivel	Niveau	niveau	مستوى
life	vida	Leben	vie	حياة
lip	labio	Lippe	lèvre	شفة
location	ubicación	Lage	emplacement	موقع
loss	pérdida	Verlust	perte	خسارة
majority	mayoría	Mehrheit	majorité	أغلبية
man	hombre	Mann	homme	رجل
manager	gerente	Manager	manager	مدير
march	marcha	März	mars	مارس
market	mercado	Markt	marché	سوق
marriage	matrimonio	Ehe	mariage	زواج
meal	comida	Mahlzeit	repas	وجبة
meaning	significado	Bedeutung	signification	معنى
meat	carne	Fleisch	viande	لحم
mechanism	mecanismo	Mechanismus	mécanisme	آلية
member	miembro	Mitglied	membre	عضو
membership	afiliación	Mitgliedschaft	adhésion	عضوية
memory	memoria	Speicher	mémoire	ذاكرة
method	método	Verfahren	méthode	طريقة
middle	medio	Mitte	milieu	وسط
mind	mente	Geist	esprit	عقل
minister	ministro	Minister	ministre	وزير
ministry	ministerio	Ministerium	ministère	وزارة
minority	minoría	Minderheit	minorité	أقلية
mixture	mezcla	Mischung	mélange	مزيج
money	dinero	Geld	argent	نقود
month	mes	Monat	mois	شهر
mood	humor	Stimmung	humeur	مزاج
morning	mañana	Morgen	matin	صباح
mountain	montaña	Berg	montagne	جبل
movement	movimiento	Bewegung	mouvement	حركة
museum	museo	Museum	musée	متحف
music	música	Musik	musique	موسيقى
neck	cuello	Hals	cou	العنق
neighbor	vecino	Nachbar	voisin	الجيران
news	noticias	Nachrichten	nouvelles	أخبار
newspaper	periódico	Zeitung	journal	جريدة
night	noche	Nacht	nuit	ليل
noise	ruido	Lärm	bruit	ضجيج
north	norte	Norden	nord	شمال
nose	nariz	Nase	nez	أنف
november	noviembre	November	novembre	تشرين الثاني
objective	objetivo	Ziel	objectif	موضوعي
october	octubre	Oktober	octobre	تشرين الأول
offense	crimen	Vergehen	infraction	جريمة
office	oficina	Beamter	bureau	مكتب
officer	oficial	Offizier	officier	ضابط
official	oficial	offiziell	officiel	رسمي
openings	aperturas	Öffnungen	ouvertures	فتحات
origin	origen	Herkunft	origine	الأصل
result	resultado	Ergebnis	résultat	نتيجة
paintings	pinturas	Malereien	peintures	لوحات
paper	papel	Papier	papier	ورقة
paragraph	párrafo	Absatz	paragraphe	فقرة
parish	parroquia	Gemeinde	paroisse	أبرشية
parliament	parlamento	Parlament	parlement	مجلس النواب
partnership	asociación	Partnerschaft	partenariat	شراكة
past	pasado	Vergangenheit	passé	الماضي
path	camino	Pfad	chemin	مسار
payment	pago	Bezahlung	paiement	دفع
peace	paz	Frieden	paix	سلام
people	gente	Menschen	personnes	الناس
percentage	porcentaje	Prozentsatz	pourcentage	نسبة مئوية
person	persona	Person	personne	شخص
airplane	avión	Flugzeug	avion	طائرة
plastic	plástico	Kunststoff	plastique	البلاستيك
player	jugador	Spieler	joueur	لاعب
poetry	poesía	Dichtung	poésie	شعر
politician	político	Politiker	politicien	سياسي
politics	política	Politik	politique	سياسة
potential	potencial	Potenzial	potentiel	محتمل
poverty	pobreza	Armut	pauvreté	فقر
premise	premisa	Prämisse	prémisse	مقدمة
presence	presencia	Gegenwart	présence	حضور
price	precio	Preis	prix	السعر
principle	principio	Prinzip	principe	مبدأ
priority	prioridad	Priorität	priorité	أفضلية
prisoner	preso	Gefangene	prisonnier	سجين
problem	problema	Problem	problème	مشكلة
process	proceso	Prozess	processus	عملية
product	producto	Produkt	produit	المنتج
professor	profesor	Professor	professeur	أستاذ
program	programa	Programm	programme	برنامج
progress	progreso	Fortschritt	progrès	تقدم
property	propiedad	Eigentum	propriété	ممتلكات
student	alumno	Schüler	élève	تلميذ
purpose	propósito	Zweck	objectif	غرض
quality	calidad	Qualität	qualité	جودة
queen	reina	Königin	reine	ملكة
reaction	reacción	Reaktion	réaction	رد فعل
reader	lector	Leser	lecteur	قارئ
reality	realidad	Wirklichkeit	réalité	واقع
recession	recesión	Rezession	récession	ركود
reduction	reducción	Reduktion	réduction	تخفيض
regime	régimen	Regime	régime	نظام الحكم
relief	alivio	Erleichterung	soulagement	إعفاء
republic	república	Republik	république	جمهورية
reputation	reputación	Ansehen	réputation	سمعة
requirement	requisito	Anforderung	exigence	مطلب
resident	residente	Einwohner	résident	مقيم
resistance	resistencia	Widerstand	résistance	مقاومة
resolution	resolución	Auflösung	résolution	قرار
resource	recurso	Ressource	ressource	مورد
response	respuesta	Antwort	réponse	استجابة
result	resultado	Ergebnis	résultat	نتيجة
retirement	jubilación	Ruhestand	retraite	تقاعد
revenue	beneficios	Einnahmen	revenu	إيرادات
revolution	revolución	Revolution	révolution	ثورة
river	río	Fluss	fleuve	نهر
road	carretera	Straße	route	طريق
roof	techo	Dach	toit	سقف
room	habitación	Zimmer	pièce	غرفة
security	seguridad	Sicherheit	sécurité	سلامة
sale	venta	Verkauf	vente	بيع
saturday	sábado	Samstag	samedi	يوم السبت
savings	ahorros	Ersparnisse	économies	مدخرات
sea	mar	Meer	mer	بحر
second	segundo	zweite	deuxième	في المرتبة الثانية
secretary	secretario	Sekretär	secrétaire	سكرتير
security	seguridad	Sicherheit	sécurité	أمن
sentence	oración	Satz	phrase	جملة
september	septiembre	September	septembre	أيلول
series	serie	Serie	série	سلسلة
servant	criado	Diener	serviteur	خادم
shareholder	accionista	Gesellschafter	actionnaire	المساهم
sheep	oveja	Schaf	mouton	خروف
shirt	camisa	Hemd	chemise	قميص
shoe	zapato	Schuh	chaussure	حذاء
side	lado	Seite	côté	جانب
Mister	señor	Herr	monsieur	سيدي
sister	hermana	Schwester	sœur	أخت
size	tamaño	Größe	taille	حجم
skill	habilidad	Geschick	compétence	مهارة
sky	cielo	Himmel	ciel	سماء
soccer	fútbol	Fußball	football	كرة القدم
society	sociedad	Gesellschaft	société	المجتمع
son	hijo	Sohn	fils	ابن
song	canción	Lied	chanson	أغنية
soul	alma	Seele	âme	روح
south	sur	Süden	sud	جنوب
space	espacio	Raum	espace	الفضاء
species	especies	Spezies	espèce	نوع
spirit	espíritu	Geist	esprit	روح
stair	escalera	Stufe	marche	سلم
status	estado	Status	statut	الحالة
story	historia	Geschichte	histoire	قصة
street	calle	Straße	rue	شارع
strength	fuerza	Stärke	force	قوة
student	estudiante	Student	étudiant	طالب
success	éxito	Erfolg	succès	نجاح
sugar	azúcar	Zucker	sucre	سكر
summer	verano	Sommer	été	الصيف
summit	cumbre	Gipfel	sommet	قمة
sunday	domingo	Sonntag	dimanche	الأحد
surgery	cirugía	Chirurgie	chirurgie	جراحة
symptom	síntoma	Symptom	symptôme	عرض
tank	tanque	Panzer	réservoir	خزان
task	tarea	Aufgabe	tâche	مهمة
tea	té	Tee	thé	شاي
teacher	maestro	Lehrer	enseignant	مدرس
team	equipo	Mannschaft	équipe	فريق
technology	tecnología	Technologie	technologie	تكنولوجيا
tenant	inquilino	Mieter	locataire	مستأجر
watch	reloj	Uhr	tendance	ميل
territory	territorio	Gebiet	territoire	إقليم
theatre	teatro	Theater	théâtre	مسرح
theme	tema	Thema	thème	موضوع
theory	teoría	Theorie	théorie	نظرية
thing	cosa	Ding	chose	شيء
thousand	mil	Tausend	mille	ألف
threat	amenaza	Bedrohung	menace	التهديد
throat	garganta	Kehle	gorge	حلق
thursday	jueves	Donnerstag	jeudi	يوم الخميس
title	título	Titel	titre	عنوان
tool	herramienta	Werkzeug	outil	أداة
tooth	diente	Zahn	dent	سن
topic	tema	Thema	sujet	موضوع
town	pueblo	Stadt	ville	مدينة
traffic	tráfico	Verkehr	circulation	مرور
treatment	tratamiento	Behandlung	traitement	علاج
treaty	tratado	Abkommen	traité	معاهدة
tree	árbol	Baum	arbre	شجرة
trend	tendencia	Trend	tendance	اتجاه
troop	tropa	Trupp	troupe	قوات
truth	verdad	Wahrheit	vérité	حقيقة
unit	unidad	Einheit	unité	وحدة
universe	universo	Universum	univers	الكون
university	universidad	Universität	université	جامعة
user	usuario	Benutzer	utilisateur	المستخدم
valley	valle	Tal	vallée	الوادي
variety	variedad	Abwechslung	variété	تشكيلة
vehicle	vehículo	Fahrzeug	véhicule	مركبة
victim	víctima	Opfer	victime	ضحية
victory	victoria	Sieg	victoire	فوز
visitor	visitante	Besucher	visiteur	زائر
wage	salario	Lohn	salaire	الأجور
wall	pared	Wand	mur	جدار
wealth	riqueza	Reichtum	richesse	ثروة
weapon	arma	Waffe	arme	سلاح
weather	tiempo	Wetter	Météo	طقس
wednesday	miércoles	Mittwoch	mercredi	يوم الأربعاء
week	semana	Woche	semaine	أسبوع
weight	peso	Gewicht	poids	الوزن
west	oeste	Westen	ouest	غرب
wife	esposa	Ehefrau	femme	زوجة
window	ventana	Fenster	fenêtre	نافذة
wing	ala	Flügel	aile	جناح
winner	ganador	Sieger	gagnant	الفائز
woman	mujer	Frau	femme	امرأة
wood	madera	Holz	bois	خشب
word	palabra	Wort	mot	كلمة
work	trabajo	Arbeit	travail	عمل
world	mundo	Welt	monde	عالم
writer	escritor	Schriftsteller	écrivain	الكاتب
year	año	Jahr	an	سنة
youth	juventud	Jugend	jeunesse	شباب
